epoch,total_loss,pde_loss,boundary_loss,initial_loss,norm_loss
0,592.6029574514223,167.95548786049437,55.85616406818231,59.63960033483286,309.15170518791274
1,1760.7026727722607,278.66293767321935,109.71964646139776,42.42036617542012,1329.8997224622233
2,6991.216916646749,426.4600258427357,128.54852302893468,73.65034194197891,6362.5580258331
3,32283.521841672107,472.4314226684857,101.93012802903327,76.35868566031597,31632.80160531427
4,18730.433941850715,335.53414387971713,68.59219865794984,56.92533985368221,18269.382259459366
5,3487.2018011540563,197.0581868520039,44.19501706659105,35.14737408679583,3210.8012231486655
6,4028.3616601895405,134.58610155785442,30.973106873463617,34.30427296044443,3828.498178797778
7,5036.4785333348855,133.5728935323587,30.765172958717013,42.60782488039096,4829.532641963419
8,1508.192356429554,125.94259502301551,26.39637109850942,40.592909128800194,1315.260481179229
9,583.1426376450733,108.63140624625734,20.166572911064236,31.601334381562378,422.74332410618933
10,771.5914707717548,100.0937417075178,25.136825356708986,23.499111517783362,622.8617921897446
11,729.096046805201,105.98450744905745,32.85181711186849,20.97565468228465,569.2840675619904
12,196.24140138082583,110.63800922294035,33.37133740180362,18.54623876770032,33.68581598838153
13,3608.9741019070793,95.95653356883146,23.033292892481096,10.237184321980994,3479.747091123785
14,130.24687608350087,81.92681388561473,16.353668491281077,10.61150885669277,21.35488484991227
15,781.783394704072,68.5329583503177,10.737503388784818,4.728805910293586,697.7841270546759
16,103.04987879642623,64.61855292274488,13.151259276889165,4.784172999838473,20.495893596953714
17,126.56048537583695,63.845746047998055,15.14729153224463,8.123437795697336,39.44400999989693
18,495.73444806174007,65.98979468502615,16.269927502525086,11.66029420784588,401.81443166634295
19,126.08542267519285,70.57878394336589,14.687886259942054,13.840574514664036,26.978177957220865
20,287.43372008757024,65.5727929434535,9.559531399033789,8.144769894480412,204.15662585060252
21,384.8093024107661,66.1613682187499,11.379575059558347,6.07794915797307,301.1904099744848
22,875.9988809685642,63.149679807471415,14.429360798487611,6.540685382610553,791.8791549799945
23,92.7521631171597,60.04107584821487,17.15900268854957,10.689909648645422,4.862174931749836
24,65.98647952916892,48.00947449984988,8.939014444306423,5.120618378565129,3.917372206447489
25,70.43748296078476,39.76961418396507,4.225478505820466,2.72808126470987,23.714309006289362
26,424.02486930503466,44.583820413857126,8.662083256304914,5.360216011196155,365.4187496236765
27,89.23209916015473,50.328969812831104,17.301510844495795,13.611801512443144,7.989816990384689
28,154.9724238163392,49.35821290246673,14.110864831562989,10.696227700096786,80.80711838221269
29,643.0766934037732,44.332570018061446,10.129134379054472,6.886096344855229,581.7288926618021
30,127.54096956992194,42.62406129892576,10.630362704066618,13.702411127130368,60.58413443979918
31,134.0280895430476,43.81183586668805,13.229544904008975,33.802441737736004,43.18426703461458
32,220.07658515387303,48.83404891533632,15.13332634480423,46.7741651024657,109.33504479126678
33,138.9922109167157,53.23940202571704,17.274539902256507,45.62389675101018,22.85437223773196
34,144.08456924035568,54.232620995508775,14.124523795726299,12.537939411256312,63.189485037864294
35,521.9761259757081,51.231834603137756,10.542462982410642,3.4032579453578267,456.7985704448019
36,145.43685967402274,48.69724434401067,12.964385954186355,19.014227310764344,64.76100206506139
37,136.72870405974535,47.429916661824116,17.68258755967648,14.618887823912797,56.99731201433197
38,341.4613158431537,45.87509573770096,17.20985087071289,17.35237865515821,261.02399057958166
39,112.82097827172007,47.55664549336171,13.869839175942184,36.28455493912421,15.109938663291972
40,147.48111865952427,46.27068086550243,9.882399516857168,33.01712483826203,58.31091343890263
41,105.26103325416626,43.11784174979826,10.500295444205928,21.666511257668574,29.9763848024935
42,137.74418352573358,41.15560278301358,15.15392216986541,8.406094853936196,73.02856371891839
43,92.406111317164,41.34198689070755,16.702047965624413,7.816153177537161,26.54592328329487
44,102.46054740412339,40.954464743811506,12.205181814070128,4.854200303321882,44.44670054291988
45,249.45809654552696,42.5560697676472,10.922394234914954,10.907093325503006,185.0725392174618
