epoch,total_loss,pde_loss,boundary_loss,initial_loss
0,79.49385711157093,78.4740522215811,0.4698524709350833,0.5499524190547501
1,64.89340339521848,64.33833880164563,0.2336151285029643,0.32144946506988276
2,30.215525192620408,29.79969906404982,0.1382685806349929,0.2775575479355958
3,15.367458935207145,15.09142019993745,0.06756388035216603,0.2084748549175273
4,8.92180334291442,8.718365435352638,0.035030006830059295,0.16840790073172138
5,6.055448216322816,5.8774466306244655,0.023957747850814528,0.15404383784753578
6,3.6760032707559236,3.5244292488194358,0.015561243174850052,0.13601277876163767
7,2.3670420108502577,2.230652090967734,0.011367470113062824,0.12502244976946128
8,1.9088110391281767,1.7792223312924038,0.009618336223423424,0.11997037161234962
9,1.3959564914907239,1.2731493724439658,0.006974669853777595,0.11583244919298043
10,1.0596836119467503,0.9431954573748937,0.006581438313304771,0.1099067162585519
11,0.922596165901603,0.8201155754405067,0.006210608883073199,0.09626998157802304
12,0.7134125495430772,0.6185779164054832,0.005011030386864779,0.08982360275072919
13,0.6370409069232219,0.5485529907581874,0.004205565234328893,0.08428235093070563
14,0.5489633254469528,0.46536152399765757,0.004063152549119005,0.07953864890017624
15,0.4140312747530349,0.3377404764465231,0.003779216487845578,0.07251158181866622
16,0.4003887682865752,0.33166670988641156,0.0038897917137012505,0.06483226668646241
17,0.339067497642545,0.27354970367914594,0.00388175188642004,0.061636042076979015
18,0.33104695999946615,0.2743613049502976,0.0039590370277015315,0.05272661802146702
19,0.26980653610103644,0.21911714069940982,0.00361923027027891,0.04707016513134771
20,0.24968961989832028,0.20382846450887382,0.003113012870989962,0.0427481425184565
21,0.2121164925801141,0.17370420488424518,0.003226996818174064,0.035185290877694855
22,0.21585661438681297,0.182053185347828,0.003590167197200275,0.030213261841784696
23,0.17437582456074932,0.14514102866132644,0.003586694061271797,0.02564810183815108
24,0.18066811916586925,0.15421492290313465,0.0031657327130223964,0.023287463549712204
25,0.14238057120116346,0.12008305259520713,0.003389340052857128,0.018908178553099207
26,0.14536957377572715,0.12639051993336117,0.0032723920016253585,0.01570666184074061
27,0.12579200954192749,0.10938176258620108,0.003142449647026389,0.013267797308700029
28,0.11763703281001628,0.10384997011494933,0.003074260276989363,0.010712802418077589
29,0.105855326655769,0.09323484393172005,0.0029796173977340865,0.00964086532631486
30,0.09293169157370133,0.08214370231008368,0.0027894628110982033,0.007998526452519448
31,0.10554552316143455,0.09580185461942477,0.00282511324183152,0.0069185553001782606
32,0.09154040949093789,0.08317822869802383,0.0025943249376462383,0.005767855855267826
33,0.07703983202330969,0.06956415757898526,0.0022651313606970183,0.005210543083627406
34,0.0895029667108358,0.0824529416517288,0.002215552812874507,0.00483447224623249
35,0.06291510774670155,0.05672792079305809,0.002143795328774064,0.004043391624869384
36,0.08009806944604621,0.07470851353992267,0.0019332034951738957,0.0034563524109496395
37,0.06182667273405806,0.056897689250727176,0.0017380927586015619,0.003190890724729317
38,0.0850136940339465,0.08007704017312992,0.0017883357677833838,0.0031483180930332046
39,0.054427908102826876,0.05053783205293422,0.0014205467070844571,0.0024695293428082035
40,0.07682820234848725,0.0725743664380896,0.001693178823237965,0.0025606570871596875
41,0.04888564830302637,0.045621805230523754,0.0011559141227970293,0.0021079289497055865
42,0.07160536488257922,0.06809418761519881,0.0014654389529246946,0.0020457383144557215
43,0.04501091471522817,0.04213165141547584,0.001015255101462249,0.0018640081982900813
44,0.06664884876063393,0.06346936987185074,0.0012757148669466172,0.0019037640218365684
45,0.043461444059557396,0.04093000553183841,0.0009660147629380955,0.0015654237647808873
46,0.06563483728883272,0.06289286008240061,0.0010294104951549857,0.0017125667112771286
47,0.05125305913331162,0.048808884301789784,0.0008535367766536701,0.0015906380548681683
48,0.04998496996235125,0.04751846264378459,0.0009879565425698856,0.001478550775996771
49,0.04957947652701604,0.04720519965942808,0.000823538541249272,0.0015507383263386888
50,0.04144882210770494,0.03933935251510006,0.0007730808402082212,0.0013363887523966597
51,0.05507577670310479,0.05291666152727609,0.000801633140953975,0.0013574820348747263
52,0.03949581939926057,0.0375077906224109,0.0006659614470913622,0.0013220673297583054
53,0.04657221027207635,0.044757935394810315,0.0007136116265979672,0.0011006632506680666
54,0.04488028379627872,0.04291456431070755,0.0006507237298606719,0.001314995755710495
55,0.03467979911159122,0.03307114697968557,0.0006615874292834426,0.0009470647026222059
56,0.04855368012714161,0.04667783564915758,0.0006369389713895654,0.0012389055065944684
